Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2023,55,City of Aberdeen - (MS),A,Bundled,O,MS,Municipal,TVA,4003,32434,2571,3487,28398,730,6827,121028,2,0,0,0,14317,181860,3303
2023,84,A & N Electric Coop,A,Bundled,O,MD,Cooperative,PJM,285.6,2058,259,74.6,531,42,0,0,0,0,0,0,360.2,2589,301
2023,84,A & N Electric Coop,A,Bundled,O,VA,Cooperative,PJM,47400.5,355433,32835,20699.5,173949,4156,16579.1,158475,6,0,0,0,84679.1,687857,36997
2023,108,Adams-Columbia Electric Coop,A,Bundled,O,WI,Cooperative,MISO,48038,275559,35649,11792,89336,2499,23152,273957,993,.,.,.,82982,638852,39141
2023,113,"Agway Energy Services, LLC",B,Energy,O,MD,Retail Power Marketer,PJM,10.8,83,9,0,0,0,0,0,0,0,0,0,10.8,83,9
2023,113,"Agway Energy Services, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,12773.5,107720,14754,3290.7,30023,2499,0,0,0,0,0,0,16064.2,137743,17253
2023,113,"Agway Energy Services, LLC",B,Energy,O,PA,Retail Power Marketer,PJM,1091.1,9195,1057,118.3,1069,48,0,0,0,0,0,0,1209.4,10264,1105
2023,123,City of Adel- (GA),A,Bundled,O,GA,Municipal,SOCO,4170.6,29557,2296,4765.6,37486,558,6659.5,109555,11,.,.,.,15595.7,176598,2865
2023,155,Agralite Electric Coop,A,Bundled,O,MN,Cooperative,MISO,9502,75980,4326,6047,71154,429,9667,110217,617,.,.,.,25216,257351,5372
2023,162,Aiken Electric Coop Inc,A,Bundled,O,SC,Cooperative,SC,97651.6,611111,48608,16011.8,133251,3306,12085.6,162992,15,.,.,.,125749,907354,51929
2023,176,Ajo Improvement Co,A,Bundled,O,AZ,Investor Owned,AZPS,625,5338,816,356.8,3431,212,0,0,0,0,0,0,981.8,8769,1028
